/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle de cedillo del condado","calle de cedillo del condado","calle cedillo del condado","cedillo del condado"
"calle de los cedros","calle de los cedros","calle cedros","cedros"
"calle de cefeo","calle de cefeo","calle cefeo","cefeo"
"calle de ceferino ávila","calle de ceferino ávila","calle ceferino ávila","ceferino ávila"
"calle de ceferino rodríguez","calle de ceferino rodríguez","calle ceferino rodríguez","ceferino rodríguez"
"plaza de céfiro","plaza de céfiro","plaza céfiro"
"calle de la ceiba","calle de la ceiba","calle ceiba","ceiba"
"calle de celanova","calle de celanova","calle celanova","celanova"
"plaza de celenque","plaza de celenque","plaza celenque"
"calle de celeorama gómez","calle de celeorama gómez","calle celeorama gómez","celeorama gómez"
"calle de celeste","calle de celeste","calle celeste","celeste"
"calle de las celindas","calle de las celindas","calle celindas","celindas"
"avenida de celio villalba","avenida de celio villalba","avenida celio villalba"
"calle de cella","calle de cella","calle cella","cella"
"carretera del cementerio nuevo","carretera del cementerio nuevo","carretera cementerio nuevo"
"calle del cemento","calle del cemento","calle cemento","cemento"
"camino de los cenagales","camino de los cenagales","camino cenagales"
"calle de cenicero","calle de cenicero","calle cenicero","cenicero"
"calle de cenicientos","calle de cenicientos","calle cenicientos","cenicientos"
"calle del censo","calle del censo","calle censo","censo"
"calle del centauro","calle del centauro","calle centauro","centauro"
"calle del centén","calle del centén","calle centén","centén"
"calle de centenera","calle de centenera","calle centenera","centenera"
"calle del centeno","calle del centeno","calle centeno","centeno"
"avenida  central","avenida  central","avenida central"
"calle de la cerámica","calle de la cerámica","calle cerámica","cerámica"
"calle de los ceramistas","calle de los ceramistas","calle ceramistas","ceramistas"
"calle de cerceda","calle de cerceda","calle cerceda","cerceda"
"calle de cercedilla","calle de cercedilla","calle cercedilla","cercedilla"
"calle de la cerceta","calle de la cerceta","calle cerceta","cerceta"
"calle de cercis","calle de cercis","calle cercis","cercis"
"calle de los cereales","calle de los cereales","calle cereales","cereales"
"calle de cerecinos","calle de cerecinos","calle cerecinos","cerecinos"
"calle de cereda","calle de cereda","calle cereda","cereda"
"plaza de ceres","plaza de ceres","plaza ceres"
"calle de la cereza","calle de la cereza","calle cereza","cereza"
"calle del cerezal","calle del cerezal","calle cerezal","cerezal"
"paseo de los cerezos","paseo de los cerezos","paseo cerezos"
"calle de cerezuela","calle de cerezuela","calle cerezuela","cerezuela"
"calle de las cerilleras","calle de las cerilleras","calle cerilleras","cerilleras"
"calle de cerler","calle de cerler","calle cerler","cerler"
"calle de la cerraja","calle de la cerraja","calle cerraja","cerraja"
"calle de la cerrajería","calle de la cerrajería","calle cerrajería","cerrajería"
"calle del cerrillo","calle del cerrillo","calle cerrillo","cerrillo"
"calle del cerro","calle del cerro","calle cerro","cerro"
"calle del cerro bermejo","calle del cerro bermejo","calle cerro bermejo","cerro bermejo"
"plaza del cerro bermejo","plaza del cerro bermejo","plaza cerro bermejo"
"calle del cerro blanco","calle del cerro blanco","calle cerro blanco","cerro blanco"
"plaza del cerro castelo","plaza del cerro castelo","plaza cerro castelo"
"calle del cerro de álamos blancos","calle del cerro de álamos blancos","calle cerro de álamos blancos","cerro de álamos blancos"
"calle del cerro de almodóvar","calle del cerro de almodóvar","calle cerro de almodóvar","cerro de almodóvar"
"calle del cerro de la alcazaba","calle del cerro de la alcazaba","calle cerro de la alcazaba","cerro de la alcazaba"
"calle del cerro de la carrasqueta","calle del cerro de la carrasqueta","calle cerro de la carrasqueta","cerro de la carrasqueta"
"calle del cerro de la gavia","calle del cerro de la gavia","calle cerro de la gavia","cerro de la gavia"
"calle del cerro de la mica","calle del cerro de la mica","calle cerro de la mica","cerro de la mica"
"calle del cerro de la plata","calle del cerro de la plata","calle cerro de la plata","cerro de la plata"
"camino del cerro de las covatillas","camino del cerro de las covatillas","camino cerro de las covatillas"
"avenida del cerro de los ángeles","avenida del cerro de los ángeles","avenida cerro de los ángeles"
"calle del cerro de los ángeles","calle del cerro de los ángeles","calle cerro de los ángeles","cerro de los ángeles"
"calle del cerro de los hombres","calle del cerro de los hombres","calle cerro de los hombres","cerro de los hombres"
"camino del cerro de los inocentes","camino del cerro de los inocentes","camino cerro de los inocentes"
"calle del cerro de valdecahonde","calle del cerro de valdecahonde","calle cerro de valdecahonde","cerro de valdecahonde"
"calle del cerro de valdemartín","calle del cerro de valdemartín","calle cerro de valdemartín","cerro de valdemartín"
"camino del cerro del águila","camino del cerro del águila","camino cerro del águila"
"calle del cerro del campo","calle del cerro del campo","calle cerro del campo","cerro del campo"
"calle del cerro del carrasco","calle del cerro del carrasco","calle cerro del carrasco","cerro del carrasco"
"calle del cerro del castañar","calle del cerro del castañar","calle cerro del castañar","cerro del castañar"
"calle del cerro del monte","calle del cerro del monte","calle cerro del monte","cerro del monte"
"calle del cerro del murmullo","calle del cerro del murmullo","calle cerro del murmullo","cerro del murmullo"
"calle del cerro del tesoro","calle del cerro del tesoro","calle cerro del tesoro","cerro del tesoro"
"avenida del cerro milano","avenida del cerro milano","avenida cerro milano"
"calle del cerro minguete","calle del cerro minguete","calle cerro minguete","cerro minguete"
"calle del cerro negro","calle del cerro negro","calle cerro negro","cerro negro"
"calle del cerro ortigoso","calle del cerro ortigoso","calle cerro ortigoso","cerro ortigoso"
"calle del cerro piñonero","calle del cerro piñonero","calle cerro piñonero","cerro piñonero"
"calle del cerro san pedro","calle del cerro san pedro","calle cerro san pedro","cerro san pedro"
"camino de los cerros","camino de los cerros","camino cerros"
"avenida de cervantes","avenida de cervantes","avenida cervantes"
"calle de cervantes","calle de cervantes","calle cervantes","cervantes"
"calle de cervera","calle de cervera","calle cervera","cervera"
"calle de césar cort botí","calle de césar cort botí","calle césar cort botí","césar cort botí"
"calle de césar gonzález ruano","calle de césar gonzález ruano","calle césar gonzález ruano","césar gonzález ruano"
"travesía de césar gonzález ruano","travesía de césar gonzález ruano","travesía césar gonzález ruano"
"calle de césar manrique","calle de césar manrique","calle césar manrique","césar manrique"
"calle de césar pastor llopis","calle de césar pastor llopis","calle césar pastor llopis","césar pastor llopis"
"calle de cestona","calle de cestona","calle cestona","cestona"
"calle de ceuta","calle de ceuta","calle ceuta","ceuta"
"plaza de chabuca granda","plaza de chabuca granda","plaza chabuca granda"
"carretera del chalet","carretera del chalet","carretera chalet"
"pista del chalet","pista del chalet","pista chalet"
"plaza de chamberí","plaza de chamberí","plaza chamberí"
"avenida de champagnat","avenida de champagnat","avenida champagnat"
"calle de chantada","calle de chantada","calle chantada","chantada"
"calle de chaparral","calle de chaparral","calle chaparral","chaparral"
"calle de chapinería","calle de chapinería","calle chapinería","chapinería"
"calle de la chapistería","calle de la chapistería","calle chapistería","chapistería"
"glorieta de charalá","glorieta de charalá","glorieta charalá"
"calle de la charca verde","calle de la charca verde","calle charca verde","charca verde"
"plaza de la charca verde","plaza de la charca verde","plaza charca verde"
"calle del charco alto","calle del charco alto","calle charco alto","charco alto"
"camino del charco del sombrero","camino del charco del sombrero","camino charco del sombrero"
"calle del charco hondo","calle del charco hondo","calle charco hondo","charco hondo"
"camino de los charcones","camino de los charcones","camino charcones"
"calle del charleroi","calle del charleroi","calle charleroi","charleroi"
"calle  charlie","calle  charlie","calle charlie","charlie"
"calle de la charquilla","calle de la charquilla","calle charquilla","charquilla"
"calle de la chavasca","calle de la chavasca","calle chavasca","chavasca"
"calle de chiclana","calle de chiclana","calle chiclana","chiclana"
"calle de chicuelo","calle de chicuelo","calle chicuelo","chicuelo"
"calle de chile","calle de chile","calle chile","chile"
"paseo de chile","paseo de chile","paseo chile"
"calle de chima","calle de chima","calle chima","chima"
"calle del chimbo","calle del chimbo","calle chimbo","chimbo"
"calle de la chimenea","calle de la chimenea","calle chimenea","chimenea"
"calle de chimichagua","calle de chimichagua","calle chimichagua","chimichagua"
"camino de la china a vallecas","camino de la china a vallecas","camino china a vallecas"
"calle de chinchilla","calle de chinchilla","calle chinchilla","chinchilla"
"pasaje de chinchón","pasaje de chinchón","pasaje chinchón"
"calle de chindasvinto","calle de chindasvinto","calle chindasvinto","chindasvinto"
"pasaje de chindasvinto","pasaje de chindasvinto","pasaje chindasvinto"
"calle de chipiona","calle de chipiona","calle chipiona","chipiona"
"calle de chiquinquira","calle de chiquinquira","calle chiquinquira","chiquinquira"
"calle  chiquita","calle  chiquita","calle chiquita","chiquita"
"calle de la chirimoya","calle de la chirimoya","calle chirimoya","chirimoya"
"calle de chirivel","calle de chirivel","calle chirivel","chirivel"
"calle de la chirivita","calle de la chirivita","calle chirivita","chirivita"
"calle de los chisperos","calle de los chisperos","calle chisperos","chisperos"
"plaza de los chisperos de chamberí","plaza de los chisperos de chamberí","plaza chisperos de chamberí"
"calle del choco","calle del choco","calle choco","choco"
"calle de choconta","calle de choconta","calle choconta","choconta"
"paseo de la chopera","paseo de la chopera","paseo chopera"
"calle del chopo","calle del chopo","calle chopo","chopo"
"paseo de los chopos","paseo de los chopos","paseo chopos"
"camino del chorrillo","camino del chorrillo","camino chorrillo"
"plaza de chozas de canales","plaza de chozas de canales","plaza chozas de canales"
"calle de las chozas de la alhóndiga","calle de las chozas de la alhóndiga","calle chozas de la alhóndiga","chozas de la alhóndiga"
"calle de chozas de la sierra","calle de chozas de la sierra","calle chozas de la sierra","chozas de la sierra"
"calle del chucuri","calle del chucuri","calle chucuri","chucuri"
"plaza de chueca","plaza de chueca","plaza chueca"
"calle de los chulapos","calle de los chulapos","calle chulapos","chulapos"
"calle de la chumbera","calle de la chumbera","calle chumbera","chumbera"
"calle de churruca","calle de churruca","calle churruca","churruca"
"plaza de cibeles","plaza de cibeles","plaza cibeles"
"calle de cicerón","calle de cicerón","calle cicerón","cicerón"
"calle del ciclón","calle del ciclón","calle ciclón","ciclón"
"calle de ciconia","calle de ciconia","calle ciconia","ciconia"
"calle del cid","calle del cid","calle cid","cid"
"calle del cidacos","calle del cidacos","calle cidacos","cidacos"
"calle de cidamón","calle de cidamón","calle cidamón","cidamón"
"plaza de cidamón","plaza de cidamón","plaza cidamón"
"calle de la cidra","calle de la cidra","calle cidra","cidra"
"calle del cidro","calle del cidro","calle cidro","cidro"
"cuesta de los ciegos","cuesta de los ciegos","cuesta ciegos"
"plaza de las ciencias","plaza de las ciencias","plaza ciencias"
"calle  ciento cinco","calle  ciento cinco","calle ciento cinco","ciento cinco"
"calle  ciento cuatro","calle  ciento cuatro","calle ciento cuatro","ciento cuatro"
"calle  ciento dos","calle  ciento dos","calle ciento dos","ciento dos"
"calle  ciento seis","calle  ciento seis","calle ciento seis","ciento seis"
"calle  ciento siete","calle  ciento siete","calle ciento siete","ciento siete"
"calle  ciento tres","calle  ciento tres","calle ciento tres","ciento tres"
"calle  ciento uno","calle  ciento uno","calle ciento uno","ciento uno"
"calle del cierzo","calle del cierzo","calle cierzo","cierzo"
"plaza de cieza","plaza de cieza","plaza cieza"
"calle de cifuentes","calle de cifuentes","calle cifuentes","cifuentes"
"calle de las cigarreras","calle de las cigarreras","calle cigarreras","cigarreras"
"calle de cigoitia","calle de cigoitia","calle cigoitia","cigoitia"
"calle de la cigüeña","calle de la cigüeña","calle cigüeña","cigüeña"
"calle del cilantro","calle del cilantro","calle cilantro","cilantro"
"calle de cimarra","calle de cimarra","calle cimarra","cimarra"
"calle del cinabrio","calle del cinabrio","calle cinabrio","cinabrio"
"calle del cinca","calle del cinca","calle cinca","cinca"
"calle de los cinceladores","calle de los cinceladores","calle cinceladores","cinceladores"
"calle  cinco","calle  cinco","calle cinco","cinco"
"calle de las cinco lagunas","calle de las cinco lagunas","calle cinco lagunas","cinco lagunas"
"calle  cinco mercamadrid","calle  cinco mercamadrid","calle cinco mercamadrid","cinco mercamadrid"
"calle de cincovillas","calle de cincovillas","calle cincovillas","cincovillas"
"calle  cincuenta mercamadrid","calle  cincuenta mercamadrid","calle cincuenta mercamadrid","cincuenta mercamadrid"
"calle  cincuenta y dos mercamadrid","calle  cincuenta y dos mercamadrid","calle cincuenta y dos mercamadrid","cincuenta y dos mercamadrid"
"calle del cincuentín","calle del cincuentín","calle cincuentín","cincuentín"
"calle del cine","calle del cine","calle cine","cine"
"plaza del cine","plaza del cine","plaza cine"
"plaza del cine parís","plaza del cine parís","plaza cine parís"
"calle de cintra","calle de cintra","calle cintra","cintra"
"calle de los cipreses","calle de los cipreses","calle cipreses","cipreses"
"calle de cipriano sancho","calle de cipriano sancho","calle cipriano sancho","cipriano sancho"
"calle de cirauqui","calle de cirauqui","calle cirauqui","cirauqui"
"calle de circe","calle de circe","calle circe","circe"
"calle del circón","calle del circón","calle circón","circón"
"calle de la circonita","calle de la circonita","calle circonita","circonita"
"plaza  circular","plaza  circular","plaza circular"
"calle del círculo","calle del círculo","calle círculo","círculo"
"carretera de circunvalación de iberia","carretera de circunvalación de iberia","carretera circunvalación de iberia"
"glorieta de cirilo martín martín","glorieta de cirilo martín martín","glorieta cirilo martín martín"
"calle de cirilo martínez novillo","calle de cirilo martínez novillo","calle cirilo martínez novillo","cirilo martínez novillo"
"calle de la ciruela","calle de la ciruela","calle ciruela","ciruela"
"calle del cisne","calle del cisne","calle cisne","cisne"
"calle de la ciudad de águilas","calle de la ciudad de águilas","calle ciudad de águilas","ciudad de águilas"
"avenida de la ciudad de barcelona","avenida de la ciudad de barcelona","avenida ciudad de barcelona"
"calle de ciudad de frías","calle de ciudad de frías","calle ciudad de frías","ciudad de frías"
"paseo de la ciudad de plasencia","paseo de la ciudad de plasencia","paseo ciudad de plasencia"
"plaza de la ciudad de salta","plaza de la ciudad de salta","plaza ciudad de salta"
"plaza de la ciudad de viena","plaza de la ciudad de viena","plaza ciudad de viena"
"calle de la ciudad encantada","calle de la ciudad encantada","calle ciudad encantada","ciudad encantada"
"plaza de la ciudad lineal","plaza de la ciudad lineal","plaza ciudad lineal"
"calle de ciudad real","calle de ciudad real","calle ciudad real","ciudad real"
"calle de ciudad rodrigo","calle de ciudad rodrigo","calle ciudad rodrigo","ciudad rodrigo"
"carretera de la ciudad universitaria","carretera de la ciudad universitaria","carretera ciudad universitaria"
"calle de la ciudad vieja de cáceres","calle de la ciudad vieja de cáceres","calle ciudad vieja de cáceres","ciudad vieja de cáceres"
"calle de la ciudadanía","calle de la ciudadanía","calle ciudadanía","ciudadanía"
"plaza  cívica","plaza  cívica","plaza cívica"
"callejón de los civiles","callejón de los civiles","callejón civiles","civiles"
"camino de los civiles","camino de los civiles","camino civiles"
"calle de clara campoamor","calle de clara campoamor","calle clara campoamor","clara campoamor"
"calle de clara del rey","calle de clara del rey","calle clara del rey","clara del rey"
"calle de clara schumann","calle de clara schumann","calle clara schumann","clara schumann"
"calle de los clarinetes","calle de los clarinetes","calle clarinetes","clarinetes"
"calle de las clarisas","calle de las clarisas","calle clarisas","clarisas"
"calle de claudio coello","calle de claudio coello","calle claudio coello","claudio coello"
"calle de claudio ferrero ferrero","calle de claudio ferrero ferrero","calle claudio ferrero ferrero","claudio ferrero ferrero"
"calle de claudio moyano","calle de claudio moyano","calle claudio moyano","claudio moyano"
"calle de claudio sánchez albornoz","calle de claudio sánchez albornoz","calle claudio sánchez albornoz","claudio sánchez albornoz"
"calle del clavel","calle del clavel","calle clavel","clavel"
"calle de las clavelinas","calle de las clavelinas","calle clavelinas","clavelinas"
"calle de clavijo","calle de clavijo","calle clavijo","clavijo"
"calle de clavileño","calle de clavileño","calle clavileño","clavileño"
"pasaje de clavileño","pasaje de clavileño","pasaje clavileño"
"calle de clemente alonso","calle de clemente alonso","calle clemente alonso","clemente alonso"
"calle de clemente fernández","calle de clemente fernández","calle clemente fernández","clemente fernández"
"calle de cleopatra","calle de cleopatra","calle cleopatra","cleopatra"
"calle de la clivia","calle de la clivia","calle clivia","clivia"
"carretera del club de campo","carretera del club de campo","carretera club de campo"
"calle de la coalición","calle de la coalición","calle coalición","coalición"
"calle del cobalto","calle del cobalto","calle cobalto","cobalto"
"pasaje de cobeña","pasaje de cobeña","pasaje cobeña"
"calle de cobos de segovia","calle de cobos de segovia","calle cobos de segovia","cobos de segovia"
"calle del cobre","calle del cobre","calle cobre","cobre"
"calle de coca","calle de coca","calle coca","coca"
"calle de cochabamba","calle de cochabamba","calle cochabamba","cochabamba"
"calle de las cocheras","calle de las cocheras","calle cocheras","cocheras"
"calle del cocherón de la villa","calle del cocherón de la villa","calle cocherón de la villa","cocherón de la villa"
"calle de los cocheros","calle de los cocheros","calle cocheros","cocheros"
"calle de coco chanel","calle de coco chanel","calle coco chanel","coco chanel"
"calle de cocuy","calle de cocuy","calle cocuy","cocuy"
"calle del codo","calle del codo","calle codo","codo"
"calle de la codorniz","calle de la codorniz","calle codorniz","codorniz"
"calle de cogolludo","calle de cogolludo","calle cogolludo","cogolludo"
"pasaje de coimbra","pasaje de coimbra","pasaje coimbra"
"plaza de coimbra","plaza de coimbra","plaza coimbra"
"calle de coín","calle de coín","calle coín","coín"
"calle de la colegiata","calle de la colegiata","calle colegiata","colegiata"
"calle de la colegiata de cervatos","calle de la colegiata de cervatos","calle colegiata de cervatos","colegiata de cervatos"
"calle de la colegiata de elines","calle de la colegiata de elines","calle colegiata de elines","colegiata de elines"
"calle de la colegiata de lebeña","calle de la colegiata de lebeña","calle colegiata de lebeña","colegiata de lebeña"
"calle de la colegiata de sar","calle de la colegiata de sar","calle colegiata de sar","colegiata de sar"
"plaza del colegio ateneo politécnico","plaza del colegio ateneo politécnico","plaza colegio ateneo politécnico"
"calle de la colina","calle de la colina","calle colina","colina"
"calle de colindres","calle de colindres","calle colindres","colindres"
"calle de los colios","calle de los colios","calle colios","colios"
"calle del collado albo","calle del collado albo","calle collado albo","collado albo"
"calle del collado bajo","calle del collado bajo","calle collado bajo","collado bajo"
"calle del collado de cerro malejo","calle del collado de cerro malejo","calle collado de cerro malejo","collado de cerro malejo"
"calle del collado de la mina","calle del collado de la mina","calle collado de la mina","collado de la mina"
"calle del collado de las vertientes","calle del collado de las vertientes","calle collado de las vertientes","collado de las vertientes"
"calle del collado de marichiva","calle del collado de marichiva","calle collado de marichiva","collado de marichiva"
"calle del collado de tirobarra","calle del collado de tirobarra","calle collado de tirobarra","collado de tirobarra"
"calle del collado del hornillo","calle del collado del hornillo","calle collado del hornillo","collado del hornillo"
"calle del collado del mostajo","calle del collado del mostajo","calle collado del mostajo","collado del mostajo"
"calle del collado del piornal","calle del collado del piornal","calle collado del piornal","collado del piornal"
"calle del collado del viento","calle del collado del viento","calle collado del viento","collado del viento"
"calle de collado mediano","calle de collado mediano","calle collado mediano","collado mediano"
"pasaje de collado villalba","pasaje de collado villalba","pasaje collado villalba"
"calle de los collados","calle de los collados","calle collados","collados"
"calle de colmenar viejo","calle de colmenar viejo","calle colmenar viejo","colmenar viejo"
"carretera de colmenar viejo","carretera de colmenar viejo","carretera colmenar viejo"
"calle de colmenarejo","calle de colmenarejo","calle colmenarejo","colmenarejo"
"pasaje de colmenarejo","pasaje de colmenarejo","pasaje colmenarejo"
"calle de colmenares","calle de colmenares","calle colmenares","colmenares"
"calle de colombia","calle de colombia","calle colombia","colombia"
"paseo de colombia","paseo de colombia","paseo colombia"
"calle de colomer","calle de colomer","calle colomer","colomer"
"calle de colón","calle de colón","calle colón","colón"
"plaza de colón","plaza de colón","plaza colón"
"acceso a la colonia marconi","acceso a la colonia marconi","acceso colonia marconi"
"calle de los colorantes","calle de los colorantes","calle colorantes","colorantes"
"calle de los coloreros","calle de los coloreros","calle coloreros","coloreros"
"calle de columba","calle de columba","calle columba","columba"
"calle de columela","calle de columela","calle columela","columela"
"plaza de las columnas","plaza de las columnas","plaza columnas"
"travesía de la comadre","travesía de la comadre","travesía comadre"
"calle del comandante azcárraga","calle del comandante azcárraga","calle comandante azcárraga","comandante azcárraga"
"calle del comandante benítez","calle del comandante benítez","calle comandante benítez","comandante benítez"
"calle del comandante fontanes","calle del comandante fontanes","calle comandante fontanes","comandante fontanes"
"paseo del comandante fortea","paseo del comandante fortea","paseo comandante fortea"
"avenida del comandante franco","avenida del comandante franco","avenida comandante franco"
"plaza del comandante las morenas","plaza del comandante las morenas","plaza comandante las morenas"
"plaza de las comendadoras","plaza de las comendadoras","plaza comendadoras"
"calle  comercial","calle  comercial","calle comercial","comercial"
"calle del comercio","calle del comercio","calle comercio","comercio"
"pasaje del comercio","pasaje del comercio","pasaje comercio"
"calle del cometa","calle del cometa","calle cometa","cometa"
"avenida  complutense","avenida  complutense","avenida complutense"
"calle de los comuneros de castilla","calle de los comuneros de castilla","calle comuneros de castilla","comuneros de castilla"
"ronda de la comunicación","ronda de la comunicación","ronda comunicación"
"avenida de las comunidades","avenida de las comunidades","avenida comunidades"
"calle del concejal benito martín lozano","calle del concejal benito martín lozano","calle concejal benito martín lozano","concejal benito martín lozano"
"calle del concejal francisco josé jiménez martín","calle del concejal francisco josé jiménez martín","calle concejal francisco josé jiménez martín","concejal francisco josé jiménez martín"
"calle del concejal ginés meléndez","calle del concejal ginés meléndez","calle concejal ginés meléndez","concejal ginés meléndez"
"calle del concejal julio gómez","calle del concejal julio gómez","calle concejal julio gómez","concejal julio gómez"
"calle del concejal victorino granizo","calle del concejal victorino granizo","calle concejal victorino granizo","concejal victorino granizo"
"calle de los concejales","calle de los concejales","calle concejales","concejales"
"camino del concejo","camino del concejo","camino concejo"
"calle de concejo de teverga","calle de concejo de teverga","calle concejo de teverga","concejo de teverga"
"calle de la concepción","calle de la concepción","calle concepción","concepción"
"calle de concepción arenal","calle de concepción arenal","calle concepción arenal","concepción arenal"
"calle de concepción ávila","calle de concepción ávila","calle concepción ávila","concepción ávila"
"calle de concepción bahamonde","calle de concepción bahamonde","calle concepción bahamonde","concepción bahamonde"
"calle de concepción de la oliva","calle de concepción de la oliva","calle concepción de la oliva","concepción de la oliva"
"calle de la concepción jerónima","calle de la concepción jerónima","calle concepción jerónima","concepción jerónima"
"callejón de la concepción jerónima","callejón de la concepción jerónima","callejón concepción jerónima","concepción jerónima"
"avenida de concha espina","avenida de concha espina","avenida concha espina"
"calle de las conchas","calle de las conchas","calle conchas","conchas"
"calle de conchita montenegro","calle de conchita montenegro","calle conchita montenegro","conchita montenegro"
"calle de conchita montes","calle de conchita montes","calle conchita montes","conchita montes"
"calle del concierto","calle del concierto","calle concierto","concierto"
"calle de la conciliación","calle de la conciliación","calle conciliación","conciliación"
"calle de la concordia","calle de la concordia","calle concordia","concordia"
"calle del condado de treviño","calle del condado de treviño","calle condado de treviño","condado de treviño"
"travesía del condado de treviño","travesía del condado de treviño","travesía condado de treviño"
"calle del conde","calle del conde","calle conde","conde"
"travesía del conde","travesía del conde","travesía conde"
"plaza del conde benavente","plaza del conde benavente","plaza conde benavente"
"calle del conde de aranda","calle del conde de aranda","calle conde de aranda","conde de aranda"
"plaza del conde de barajas","plaza del conde de barajas","plaza conde de barajas"
"calle del conde de belchite","calle del conde de belchite","calle conde de belchite","conde de belchite"
"pasaje del conde de belchite","pasaje del conde de belchite","pasaje conde de belchite"
"calle del conde de cartagena","calle del conde de cartagena","calle conde de cartagena","conde de cartagena"
"plaza del conde de casal","plaza del conde de casal","plaza conde de casal"
"plaza del conde de covatillas","plaza del conde de covatillas","plaza conde de covatillas"
"calle del conde de elda","calle del conde de elda","calle conde de elda","conde de elda"
"calle del conde de eleta","calle del conde de eleta","calle conde de eleta","conde de eleta"
"plaza del conde de eleta","plaza del conde de eleta","plaza conde de eleta"
"calle del conde de la cimera","calle del conde de la cimera","calle conde de la cimera","conde de la cimera"
"calle del conde de las posadas","calle del conde de las posadas","calle conde de las posadas","conde de las posadas"
"calle del conde de lemos","calle del conde de lemos","calle conde de lemos","conde de lemos"
"calle del conde de miranda","calle del conde de miranda","calle conde de miranda","conde de miranda"
"plaza del conde de miranda","plaza del conde de miranda","plaza conde de miranda"
"calle del conde de morphy","calle del conde de morphy","calle conde de morphy","conde de morphy"
"calle del conde de peñalver","calle del conde de peñalver","calle conde de peñalver","conde de peñalver"
"calle del conde de romanones","calle del conde de romanones","calle conde de romanones","conde de romanones"
"plaza del conde de toreno","plaza del conde de toreno","plaza conde de toreno"
"calle del conde de torralba","calle del conde de torralba","calle conde de torralba","conde de torralba"
"calle del conde de vallellano","calle del conde de vallellano","calle conde de vallellano","conde de vallellano"
"calle del conde de vilches","calle del conde de vilches","calle conde de vilches","conde de vilches"
"calle del conde de vistahermosa","calle del conde de vistahermosa","calle conde de vistahermosa","conde de vistahermosa"
"calle del conde de xiquena","calle del conde de xiquena","calle conde de xiquena","conde de xiquena"
"calle del conde del serrallo","calle del conde del serrallo","calle conde del serrallo","conde del serrallo"
"plaza del conde del valle de súchil","plaza del conde del valle de súchil","plaza conde del valle de súchil"
"calle del conde duque","calle del conde duque","calle conde duque","conde duque"
"travesía del conde duque","travesía del conde duque","travesía conde duque"
"calle del conde rodríguez san pedro","calle del conde rodríguez san pedro","calle conde rodríguez san pedro","conde rodríguez san pedro"
"calle de los condes de barcelona","calle de los condes de barcelona","calle condes de barcelona","condes de barcelona"
"calle de los condes de torreanaz","calle de los condes de torreanaz","calle condes de torreanaz","condes de torreanaz"
"calle de los condes del val","calle de los condes del val","calle condes del val","condes del val"
"plaza de la condesa de gavia","plaza de la condesa de gavia","plaza condesa de gavia"
"calle de la condesa de santamarca","calle de la condesa de santamarca","calle condesa de santamarca","condesa de santamarca"
"calle de la condesa de teba","calle de la condesa de teba","calle condesa de teba","condesa de teba"
"calle de la condesa de venadito","calle de la condesa de venadito","calle condesa de venadito","condesa de venadito"
"calle de la condesa trifaldi","calle de la condesa trifaldi","calle condesa trifaldi","condesa trifaldi"
"calle de la condesa vega del pozo","calle de la condesa vega del pozo","calle condesa vega del pozo","condesa vega del pozo"
"calle del cóndor","calle del cóndor","calle cóndor","cóndor"
"calle de la conformidad","calle de la conformidad","calle conformidad","conformidad"
"calle de confucio","calle de confucio","calle confucio","confucio"
"calle del congosto","calle del congosto","calle congosto","congosto"
"camino del congosto","camino del congosto","camino congosto"
"pasaje del congosto","pasaje del congosto","pasaje congosto"
"calle de las coníferas","calle de las coníferas","calle coníferas","coníferas"
"calle de conil","calle de conil","calle conil","conil"
"avenida del conocimiento","avenida del conocimiento","avenida conocimiento"
"calle de conrado del campo","calle de conrado del campo","calle conrado del campo","conrado del campo"
"avenida del consejo de europa","avenida del consejo de europa","avenida consejo de europa"
"calle del consenso","calle del consenso","calle consenso","consenso"
"calle de los conserveros","calle de los conserveros","calle conserveros","conserveros"
"calle de la constancia","calle de la constancia","calle constancia","constancia"
"calle de la constelación","calle de la constelación","calle constelación","constelación"
"plaza de la constitución","plaza de la constitución","plaza constitución"
"calle de consuegra","calle de consuegra","calle consuegra","consuegra"
"calle de consuelo guzmán","calle de consuelo guzmán","calle consuelo guzmán","consuelo guzmán"
"calle de consuelo rubio","calle de consuelo rubio","calle consuelo rubio","consuelo rubio"
"calle del continente","calle del continente","calle continente","continente"
